course_code,course_link,course_name,overall,prof_rating,difficulty,workload,professors,tip
BIO-482,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,Neuroscience: cellular and circuit mechanisms,4.2 (4),4.2,2.5,2.8 (5),"['Crochet', 'Petersen']",Just be sure to know a little about python for the final mini project.
BIO-482,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,Neuroscience: cellular and circuit mechanisms,4.2 (4),4.2,2.5,2.8 (5),"['Crochet', 'Petersen']","Exam is not too hard, quite basic knowledge questions about the course. Doing the project alone isn't a bad choice. ."
BIO-482,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,Neuroscience: cellular and circuit mechanisms,4.2 (4),4.2,2.5,2.8 (5),"['Crochet', 'Petersen']",Full learning by heart written exam. The project isn’t demanding too much. The project could be done in groups or alone
BIO-482,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,Neuroscience: cellular and circuit mechanisms,4.2 (4),4.2,2.5,2.8 (5),"['Crochet', 'Petersen']","just study the written booc since it's the same words as the videos of the course, and find a group to do the project with so you won't work too much"
BIO-482,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-cellular-and-circuit-mechanisms-BIO-482,Neuroscience: cellular and circuit mechanisms,4.2 (4),4.2,2.5,2.8 (5),"['Crochet', 'Petersen']","just study the written booc since it's the same words as the videos of the course, and find a group to do the project with so you won't work too much"
BIO-483,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-behavior-and-cognition-BIO-483,Neuroscience: behavior and cognition,2.5 (4),2.8,3.5,3.2 (5),"['Blanke', 'Herzog', 'Sandi Perez']","To given videos are different of the actual course, so you must go to the class"
BIO-483,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-behavior-and-cognition-BIO-483,Neuroscience: behavior and cognition,2.5 (4),2.8,3.5,3.2 (5),"['Blanke', 'Herzog', 'Sandi Perez']",1)Go to the lecture 2) Memorize all the lecture by heart 3) Pray for the exam
BIO-483,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-behavior-and-cognition-BIO-483,Neuroscience: behavior and cognition,2.5 (4),2.8,3.5,3.2 (5),"['Blanke', 'Herzog', 'Sandi Perez']",Try to learn a little bit everyday or do some little summaries to have less to learn by heart during the revision session
BIO-483,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-behavior-and-cognition-BIO-483,Neuroscience: behavior and cognition,2.5 (4),2.8,3.5,3.2 (5),"['Blanke', 'Herzog', 'Sandi Perez']","Use the exercise solutions to study, it is the only place where some concepts are explained in a rather comprehensible fashion (for Herzog's part). There is also a summary on the drive that is available, that will allow you to pass the course."
BIO-483,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/neuroscience-behavior-and-cognition-BIO-483,Neuroscience: behavior and cognition,2.5 (4),2.8,3.5,3.2 (5),"['Blanke', 'Herzog', 'Sandi Perez']","Use the exercise solutions to study, it is the only place where some concepts are explained in a rather comprehensible fashion (for Herzog's part). There is also a summary on the drive that is available, that will allow you to pass the course."
BIO-493,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-project-design-in-integrative-neurosciences-BIO-493,Scientific project design in integrative neurosciences,1 (1),3,3,3 (4),['Petersen'],"Come in class for the project follow up, and go in the direction advised by the professor, and you will have a good grade."
BIO-493,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/scientific-project-design-in-integrative-neurosciences-BIO-493,Scientific project design in integrative neurosciences,1 (1),3,3,3 (4),['Petersen'],"Come in class for the project follow up, and go in the direction advised by the professor, and you will have a good grade."
BIO-512,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/digital-epidemiology-BIO-512,Digital epidemiology,4.3 (3),4,3,3.7 (4),['Salathé'],Have some programming knowledge to not struggle during the project.
BIO-512,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/digital-epidemiology-BIO-512,Digital epidemiology,4.3 (3),4,3,3.7 (4),['Salathé'],it will be easier if you work regularly (and you don't have much of a choice because of the continuous assessment)
BIO-512,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/digital-epidemiology-BIO-512,Digital epidemiology,4.3 (3),4,3,3.7 (4),['Salathé'],"You should go to the class because the slides are a bit empty, do not stress about the project, it is actually quite easy to do something !"
BIO-512,https://edu.epfl.ch/studyplan/en/master/life-sciences-engineering/coursebook/digital-epidemiology-BIO-512,Digital epidemiology,4.3 (3),4,3,3.7 (4),['Salathé'],"You should go to the class because the slides are a bit empty, do not stress about the project, it is actually quite easy to do something !"
BIOENG-320,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/synthetic-biology-BIOENG-320,Synthetic biology,3 (1),3,2,2 (4),"['Aye', 'Barth', 'Hatzimanikatis']",Book (some questions are taken from the book which has the answers)
BIOENG-320,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/synthetic-biology-BIOENG-320,Synthetic biology,3 (1),3,2,2 (4),"['Aye', 'Barth', 'Hatzimanikatis']",Book (some questions are taken from the book which has the answers)
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],The slides have all the info so you don’t necessarily have to go to the class. The exam is not very hard if you study and for the essay you can choose any topic of your interest in the immunoengineering field
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],The slides are a bit vague sometimes so I'd recommend going to class to get some notes.
BIOENG-399,https://edu.epfl.ch/studyplan/en/bachelor/life-sciences-engineering/coursebook/immunoengineering-BIOENG-399,Immunoengineering,4 (5),4.2,2.2,1.8 (4),['Tang'],"No exercise, just a report and a small end-of-session exam but really ok"
